MASE_train,MASE_validation,SIGN_train,SIGN_validation,delay,dimension
0.7002731666041823,10.865487662842725,0.7062009823986918,0.5309679211220665,12,8
0.688094841506632,11.18409841170456,0.6615165936090938,0.5334166724541056,12,9
0.6792981127300389,11.573716284973349,0.7162653246569715,0.5281559692507178,12,10
0.8507132585740341,9.108756508569279,0.6412042770693446,0.5033754103666713,21,2
0.8265820956753432,9.564904795243255,0.6349131032235368,0.5227919239575384,21,3
0.7906023865245987,10.189602018531358,0.6782150348571782,0.5220248010364612,21,4
0.7565808045174749,10.748229219181303,0.648453962473257,0.5331203999444522,21,5
0.7265268664429652,11.36116999782187,0.7000749115646934,0.5263133523187701,21,6
0.7035060200114983,11.865978761456951,0.6551432960277158,0.5298082267926626,21,7
0.6870990931546782,12.386599773713504,0.711379099959068,0.5240147355251269,21,8
0.6748669541340263,12.909598126882324,0.6632212663586108,0.5286373223929722,21,9
0.6654976148834836,13.371040806622524,0.7188222666449505,0.5289139306251158,21,10
0.8489618183246753,9.225622941785057,0.6443095540910317,0.4998496936061972,35,2
0.8188449687352359,9.916310889070619,0.6362973835516903,0.5151325836457031,35,3
0.7753101201282441,10.998337789958759,0.6811796417499338,0.5077446690282698,35,4
0.736796591489056,11.97685907539659,0.6460078578162384,0.5212213881938652,35,5
0.7117217613266874,12.748849847580201,0.7039058878071396,0.5195178488641633,35,6
0.6937886785828171,13.430545338608253,0.654160065804655,0.5191937466657389,35,7
0.6820568029879936,14.1163785238397,0.712456379319827,0.5164322517755188,35,8
0.6724547235170215,14.700697218392433,0.6657496780673223,0.5175689170672798,35,9
0.6634836865850459,15.166158273466854,0.7200689361372526,0.5167886603927035,35,10
0.8529488369048804,9.613381825106918,0.6367162498746924,0.4970273208874083,59,2
0.8153403107690882,10.834122860583582,0.6325747440634347,0.5170904543559817,59,3
0.7685287409986098,12.261164259932372,0.683500451005625,0.5085193685235413,59,4
0.7359799232558918,13.501050010436467,0.6488466825383422,0.5195627958785853,59,5
0.7134604922979121,14.494943585316925,0.7097909407665505,0.5140534262485482,59,6
0.698615930861609,15.365573616364642,0.6558648062416547,0.520962678758284,59,7
0.6868647987336726,16.116785190304746,0.7148715264548446,0.513477653631285,59,8
0.6779422625518027,16.638824883166656,0.6666512653456642,0.517255039030642,59,9
0.6694174077577655,17.166212138143255,0.7195398813550097,0.5122804562311946,59,10
0.8520713025343114,10.373831598013847,0.6391584840736931,0.4979163772746215,100,2
0.8052373041660935,11.919421722485637,0.638766766678359,0.5052760963844245,100,3
0.7602587339186017,13.682947546179546,0.6898376252161112,0.5042282315769909,100,4
0.727582474089802,15.022296031125904,0.6482023123138464,0.5190718890362821,100,5
0.7080862761552588,16.084436095107332,0.7100355296052494,0.5095817596866695,100,6
0.696125450846016,16.970425668256485,0.6556334523271775,0.5139540858030314,100,7
0.684989731591438,17.60315419804196,0.7196810786806379,0.5088433464345873,100,8
0.6759158244079756,18.567754909712303,0.6598985592997755,0.5100424195551806,100,9
0.6677170860999556,19.514976442344892,0.7215148510647514,0.506808470676621,100,10
